title,appid,categories,genres,price,developer,publisher
Noosphere,1161430.0,,,,,
MotoGP™20,1161490.0,,,,,
Sakura Gamer 2,1161650.0,,,,,
Eternal Hope,1162280.0,,,,,
Shanghai Office Simulator,1163140.0,,,,,
SuperEpic: The Entertainment War,1163560.0,,,,,
When The Past Was Around,1164050.0,,,,,
Model Builder,1164250.0,,,,,
TombStar,1165470.0,,,,,
Commandos 2 - HD Remaster,1100410.0,,,,,
Mists of Noyah,1168870.0,,,,,
Danger Scavenger,1169740.0,,,,,
"Resident Evil 2 ""R.P.D. Demo""",1168280.0,,,,,
Stirring Abyss,1178210.0,,,,,
Pro Cycling Manager 2020,1178400.0,,,,,
Jetboard Joust,1181600.0,,,,,
HIVESWAP: ACT 2,1181840.0,,,,,
Caves and Castles: Underworld,1182770.0,,,,,
Mainframe Defenders,1184810.0,,,,,
Edge Of Galaxy,1025000.0,,,,,
Sakura Succubus,1202310.0,,,,,
Sakura Knight,1209330.0,,,,,
Project Heartbeat,1216230.0,,,,,
Ultra Foodmess,1221640.0,,,,,
ONE PIECE: PIRATE WARRIORS 4,1089090.0,,,,,
ONE PUNCH MAN: A HERO NOBODY KNOWS ,991560.0,,,,,
Offroad Mania,1222040.0,,,,,
Trigon: Space Story,1226510.0,,,,,
Lotus Reverie: First Nexus,1227570.0,,,,,
Bang-On Balls: Chronicles,1227650.0,,,,,
Company of Crime,1229420.0,,,,,
MY HERO ONE'S JUSTICE 2,1058450.0,,,,,
Pendula Swing - The Complete Journey,1230200.0,,,,,
The Innsmouth Case,1231950.0,,,,,
Disgaea 4 Complete+,1233880.0,,,,,
Lustful Valley,1233900.0,,,,,
Astronarch,1234940.0,,,,,
The Catch: Carp & Coarse Fishing,1237610.0,,,,,
Gravewood High,1239300.0,,,,,
Pendragon,1240050.0,,,,,
Deep Despair,1241040.0,,,,,
The Galactic Junkers,1243160.0,,,,,
Picklock,1243220.0,,,,,
House Builder,1244630.0,,,,,
Family Mysteries 2: Echoes of Tomorrow,1247190.0,,,,,
Grand Mountain Adventure,1247360.0,,,,,
Realpolitiks II,1248060.0,,,,,
Hero of the Kingdom: The Lost Tales 1,1249130.0,,,,,
NAMCO MUSEUM ARCHIVES Vol 1,1250250.0,,,,,
Tanuki Sunset,1251460.0,,,,,
Jessika,1251980.0,,,,,
"Warhammer 40,000: Dakka Squadron - Flyboyz Edition",1253190.0,,,,,
Garbage,1253710.0,,,,,
Neurodeck,1253860.0,,,,,
NAMCO MUSEUM ARCHIVES Vol 2,1254620.0,,,,,
Streamer Life Simulator,1261040.0,,,,,
Yumeutsutsu Re:After,1267260.0,,,,,
Tinkertown,1276660.0,,,,,
Cobra Kai: The Karate Kid Saga Continues,1279920.0,,,,,
Three kingdoms story: Conussia,1285560.0,,,,,
Tour de France 2020,1287590.0,,,,,
Port Royale 4,1024650.0,,,,,
Terrordrome - Reign of the Legends,1291170.0,,,,,
Outerverse,1293540.0,,,,,
Sakura Knight 2,1296260.0,,,,,
Dread X Collection,1296510.0,,,,,
Forgotten Fields,1296980.0,,,,,
Mosaique Neko Waifus 2,1299120.0,,,,,
Whiskey.Mafia. Leo's Family,1300430.0,,,,,
The Plague: Kingdom Wars,1300700.0,,,,,
Time Loader,1301950.0,,,,,
Zombo Buster Advance,1302780.0,,,,,
Toodee and Topdee,1303950.0,,,,,
The Magister,1304770.0,,,,,
ValiDate: Volume 1,1319850.0,,,,,
Sakura Succubus 2,1326000.0,,,,,
Seven Doors,1329320.0,,,,,
CROSSBOW: Bloodnight,1329540.0,,,,,
Captain Tsubasa - Rise of New Champions,1163550.0,,,,,
Wordle,1334000.0,,,,,
Last Room,1334010.0,,,,,
Furry Love,1334590.0,,,,,
Hunting Simulator 2,1135910.0,,,,,
The Last Saviour,1339870.0,,,,,
Crazy Kung Fu,1340300.0,,,,,
THE CORRIDOR,1347030.0,,,,,
Sky Fleet,1347540.0,,,,,
Furry Love 2,1349040.0,,,,,
Sakura Knight 3,1351370.0,,,,,
Kitaria Fables,1356280.0,,,,,
Guild of Darksteel,1356580.0,,,,,
The Dungeon Beneath,1359120.0,,,,,
Monster Harvest,1363350.0,,,,,
Endless Bounty,1364730.0,,,,,
Kingdom Rush Vengeance,1367550.0,,,,,
Leisure Suit Larry - Wet Dreams Dry Twice,1373430.0,,,,,
Dark Deity,1374840.0,,,,,
The Citadel,1378290.0,,,,,
Wordle 2,1386730.0,,,,,
Sokpop S09: pyramida,1390010.0,,,,,
Superbugs: Awaken,1393570.0,,,,,
Kathy Rain: Director's Cut,1395030.0,,,,,
Instant Farmer,1399670.0,,,,,
Radioactive dwarfs: evil from the sewers,1403080.0,,,,,
RoboSkate,1404530.0,,,,,
Sakura Succubus 3,1406020.0,,,,,
Call of the Wild: The Angler™,1408610.0,,,,,
Siege the Day,1412070.0,,,,,
Sokpop S09: Flipper Volcano,1413350.0,,,,,
Out of Line,1419290.0,,,,,
Jester / King,1424300.0,,,,,
Wordle 3,1428820.0,,,,,
Aquarist,1430760.0,,,,,
G.I. Joe: Operation Blackout,1432220.0,,,,,
The Walking Dead Onslaught,1082680.0,,,,,
MOAI 6: Unexpected Guests,1432980.0,,,,,
MOAI 7: Mystery Coast,1433030.0,,,,,
Tandem: a tale of shadows,1436920.0,,,,,
EBOLA 2,1437050.0,,,,,
SHUT IN,1438190.0,,,,,
KILLRUN,1442170.0,,,,,
Bassmaster® Fishing,1449500.0,,,,,
A Tale of Paper,1454640.0,,,,,
Sokpop S09: King Pins,1459870.0,,,,,
DUSK '82,1465510.0,,,,,
Sakura MMO Extra,1466680.0,,,,,
Sakura Succubus 4,1466690.0,,,,,
Godstrike,1476170.0,,,,,
Luna's Fishing Garden,1477790.0,,,,,
100 hidden eternals,1480120.0,,,,,
Tested on Humans: Escape Room,1483780.0,,,,,
Hiddenverse: Ominous Opus,1486870.0,,,,,
IncrediMarble,1488100.0,,,,,
CrashMetal Cyberpunk,1490130.0,,,,,
Recon Control,1491510.0,,,,,
Immortal Legacy: The Jade Cipher VR,1493060.0,,,,,
7Days Origins,1494140.0,,,,,
VR JAPAN,1494400.0,,,,,
Atelier Sophie: The Alchemist of the Mysterious Book DX,1502970.0,,,,,
Atelier Firis: The Alchemist and the Mysterious Journey DX,1502980.0,,,,,
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings DX,1502990.0,,,,,
OPUS: Echo of Starsong - Full Bloom Edition,1504500.0,,,,,
Machinika Museum,1507190.0,,,,,
Kaiju Wars,1508400.0,,,,,
Sokpop S10: Pocket Watch,1510620.0,,,,,
Everybody Wham Wham,1510630.0,,,,,
Supraland Six Inches Under,1522870.0,,,,,
Sakura Forest Girls,1524650.0,,,,,
Sunblaze,1525660.0,,,,,
Guardians of Hyelore,1525330.0,,,,,
Defend the Rook,1531250.0,,,,,
Grotto,1538850.0,,,,,
GetsuFumaDen: Undying Moon,1323470.0,,,,,
Gigapocalypse,1543240.0,,,,,
Heads Will Roll,1525420.0,,,,,
A Musical Story,1546100.0,,,,,
100 hidden snails 2,1549030.0,,,,,
Creepy Tale 2,1550510.0,,,,,
JANITOR BLEEDS,1552310.0,,,,,
Wife Quest,1554600.0,,,,,
Golf Club Wasteland,1556870.0,,,,,
Island Farmer,1564560.0,,,,,
Miss Furry,1566060.0,,,,,
Femboy Bangers,1567860.0,,,,,
Glyph,1569150.0,,,,,
PolyCube,798790.0,,,,,
Beholder 3,1570070.0,,,,,
Lila’s Sky Ark,1573390.0,,,,,
Rune Factory 4 Special,1580240.0,,,,,
They Always Run,1585440.0,,,,,
100 hidden cats,1587560.0,,,,,
JARS,1590750.0,,,,,
Spirit Of The Island,1592110.0,,,,,
Sakura Alien,1592640.0,,,,,
Organs Please,1593780.0,,,,,
I See Red,1594460.0,,,,,
Chased by Darkness,1595710.0,,,,,
ConnecTank,1597200.0,,,,,
Vanaris Tactics,1599860.0,,,,,
Cats in Time,1599880.0,,,,,
Lost Nova,1603410.0,,,,,
Submerged: Hidden Depths,1614270.0,,,,,
Serious Sam: Kamikaze Attack!,1623420.0,,,,,
Sakura Forest Girls 2,1630490.0,,,,,
Sakura Forest Girls 3,1665210.0,,,,,
Northend Tower Defense,1669170.0,,,,,
My Stepmom is a Futanari,1676580.0,,,,,
PowerSlave Exhumed,1678430.0,,,,,
100 hidden cats 2,1679320.0,,,,,
Hunter Girls,1683900.0,,,,,
Hellblusser,1695480.0,,,,,
SUPER CHICKEN JUMPER,584640.0,,,,,
Aspire: Ina's Tale,1720090.0,,,,,
What Lies in the Multiverse,1721170.0,,,,,
Minecraft Dungeons,1672970.0,,,,,
They are coming,1736270.0,,,,,
Blood And Zombies,1739880.0,,,,,
Catana,1747310.0,,,,,
Subway Midnight,1750570.0,,,,,
Shattered Pixel Dungeon,1769170.0,,,,,
Sakura Succubus 5,1795430.0,,,,,
The Touryst,1796410.0,,,,,
Dimension Tripper Neptune: TOP NEP,1798780.0,,,,,
Medieval Shopkeeper Simulator,677450.0,,,,,
Atelier Sophie 2: The Alchemist of the Mysterious Dream,1621310.0,,,,,
Final Vendetta,1891090.0,,,,,
Legends of Kingdom Rush,1904860.0,,,,,
Monument Valley,1927720.0,,,,,
Monument Valley 2,1927740.0,,,,,
Save Room - Organization Puzzle,1955330.0,,,,,
The Wild Eternal,554810.0,,,,,
Sakura Succubus 6,1961390.0,,,,,
Spellbook Demonslayers,2007530.0,,,,,
The Snow Fable: Mystery of the Flame,2019650.0,,,,,
Heroes of Hellas Origins: Part Two,2086820.0,,,,,
There Is No Light,1132980.0,,,,,
Scarlet Tower,2181720.0,,,,,
From Space,1502190.0,,,,,
Patch Quest,1347970.0,,,,,
Dead Man's Draw,262450.0,,,,,
GestureWorks Gameplay,296610.0,,,,,
Oh...Sir! Prototype,416690.0,,,,,
Fugl,643810.0,,,,,
Pinball Deluxe: Reloaded,678310.0,,,,,
Electro Ride,696150.0,,,,,
Rumu,723270.0,,,,,
Radical Relocation,816430.0,,,,,
Total War: ROME REMASTERED,885970.0,,,,,
Crime Cities,1112570.0,,,,,
Vaporum: Lockdown,1161880.0,,,,,
Chinatown Detective Agency,1172190.0,,,,,
The Excavation of Hob's Barrow,1182310.0,,,,,
Alan's Automaton Workshop,1289990.0,,,,,
Super Woden GP,1534180.0,,,,,
Ctrl Alt Ego,1571940.0,,,,,
The Signal State,1577620.0,,,,,
Citizen Sleeper,1578650.0,,,,,
Retro Gadgets,1730260.0,,,,,
Mothmen 1966,1755030.0,,,,,
The Zachtronics Solitaire Collection,1988540.0,,,,,
Space Beast Terror Fright,357330.0,,,,,
Space Junkies - Beta,819970.0,,,,,
Northern Journey,1639790.0,,,,,
Beacon,856610.0,,,,,
Ynglet,1015920.0,,,,,
Voxelgram,1158470.0,,,,,
Gunlocked,1512480.0,,,,,
Tower Tactics: Liberation,1709900.0,,,,,
The Entropy Centre,1730590.0,,,,,
Escape Academy,1812090.0,,,,,
Evil West,1065310.0,,,,,
Sweep'n'Sweep,552400.0,,,,,
Leaf Blower Revolution - Idle Game,1468260.0,,,,,
Mushroom Heroes,840410.0,,,,,
Brick-Force,335330.0,,,,,
Overload Playable Teaser,450220.0,,,,,
High On Racing,362610.0,,,,,
EvilMaze,484950.0,,,,,
Two Worlds,1920.0,,,,,
Urban Empire,352550.0,,,,,
Gladiator School,556860.0,,,,,
Almost Alive,890570.0,,,,,
HudSight - custom crosshair overlay,1477830.0,,,,,
Shattered Union,3960.0,,,,,
Pro Cycling Manager 2014,255260.0,,,,,
Pro Cycling Manager 2015,322850.0,,,,,
Pro Cycling Manager 2016,408760.0,,,,,
Firefighting Simulator - The Squad,420560.0,,,,,
Pro Cycling Manager 2017,525920.0,,,,,
Tower!3D Pro,588190.0,,,,,
VR SUPER SPORTS,593240.0,,,,,
FlatOut 4: Total Insanity,402130.0,,,,,
Loading Screen Simulator,2332450.0,,,,,
Pro Cycling Manager 2018,704230.0,,,,,
Wild West Saga,842150.0,,,,,
Buccaneers!,1148560.0,,,,,
Fishing: North Atlantic,1264250.0,,,,,
Gas Station Simulator: Prologue - Early Days,1528080.0,,,,,
Crypto Mining Simulator,1596310.0,,,,,
F1® Manager 2022,1708520.0,,,,,
Pro Cycling Manager 2022,1767560.0,,,,,
Tour de France 2022,1767570.0,,,,,
Construction Simulator,1273400.0,,,,,
Hotel Renovator,1214470.0,,,,,
Tanki Online,562010.0,,,,,
Sniper Fury,591740.0,,,,,
Shadow Arena,1226470.0,,,,,
Garten of Banban 2,2262770.0,,,,,
Danger Zone 2,513690.0,,,,,
IMMORTALITY,1350200.0,,,,,
Elf Bowling: Hawaiian Vacation,15990.0,,,,,
Heroes of Havoc,251450.0,,,,,
TOME: Immortal Arena,293560.0,,,,,
SLAMMED!,343370.0,,,,,
Soccer Manager 2015,356370.0,,,,,
Hunger Dungeon,513560.0,,,,,
New Star Manager,883130.0,,,,,
The Crackpet Show,1390700.0,,,,,
Farm Manager 2021: Prologue,1415410.0,,,,,
MotoGP™14,256390.0,,,,,
Worm.is: The Game,466910.0,,,,,
Sim Racing Telemetry,845210.0,,,,,
MotoGP™21,1447000.0,,,,,
TrackDayR,1511630.0,,,,,
Savage 2: A Tortured Soul,13700.0,,,,,
Mishap: An Accidental Haunting,47500.0,,,,,
Battle Islands,305260.0,,,,,
Art of War: Red Tides,558100.0,,,,,
IOSoccer,673560.0,,,,,
Light Repair Team #4,444530.0,,,,,
Containment Initiative,527700.0,,,,,
Nature Treks VR,587580.0,,,,,
Boiling Steel,1016860.0,,,,,
Commandos: Strike Force,6820.0,,,,,
Children of the Nile,17100.0,,,,,
Children of the Nile: Alexandria,17120.0,,,,,
Star Ruler 2,282590.0,,,,,
Age of Conquest IV,314970.0,,,,,
Sorcerer King,241990.0,,,,,
Cossacks 3,333420.0,,,,,
Copa Petrobras de Marcas,359800.0,,,,,
ACID Music Studio 10 - Steam Powered,278190.0,,,,,
Vengeance,384960.0,,,,,
Blood and Gold: Caribbean!,413710.0,,,,,
Cold Waters,541210.0,,,,,
Constructor,579020.0,,,,,
Formata,580040.0,,,,,
Age of History II,603850.0,,,,,
King of the World,615020.0,,,,,
"Warhammer 40,000: Dawn of War III Open Beta",468630.0,,,,,
Rise of Liberty,775940.0,,,,,
Lords Mobile,1041320.0,,,,,
Hundred Days,1042380.0,,,,,
Sands of Salzaar,1094520.0,,,,,
Anarchy: Wolf's law,1133060.0,,,,,
Shieldwall,1216320.0,,,,,
WRC 10 FIA World Rally Championship,1462810.0,,,,,
Distant Worlds 2,1531540.0,,,,,
UNDER NIGHT IN-BIRTH Exe:Late,452510.0,,,,,
Sword Art Online Re: Hollow Fragment,638650.0,,,,,
Seek Girl,998930.0,,,,,
Miss Neko,1101450.0,,,,,
Hentai Asmodeus,1147510.0,,,,,
Seek Girl Ⅱ,1149660.0,,,,,
Cat Simulator,393390.0,,,,,
Terrain Test,273550.0,,,,,
Tiamat X,343340.0,,,,,
surviv.io - 2D Battle Royale,1375740.0,,,,,
CATS!,388840.0,,,,,
Gods Will Fall,1243690.0,,,,,
Nudist Beach Survival Simulator,708640.0,,,,,
FIFA Manager 10,24850.0,,,,,
Age of Castles: Warlords,371710.0,,,,,
Pro Evolution Soccer 2016 myClub,407250.0,,,,,
Yu-Gi-Oh! Legacy of the Duelist,480650.0,,,,,
Street Warriors Online,417910.0,,,,,
SurvivalZ,799500.0,,,,,
3D Tower,745670.0,,,,,
Head Goal: Soccer Online,687850.0,,,,,
Heli Heroes,259320.0,,,,,
Defenders of the Last Colony,326110.0,,,,,
Ostrich Island,337270.0,,,,,
Into The War,346370.0,,,,,
Dream Of Mirror Online,335820.0,,,,,
The Secret of Tremendous Corporation,380140.0,,,,,
Sierra Ops,364210.0,,,,,
RoShamBo Arena,393930.0,,,,,
Dungeons Of Kragmor,407730.0,,,,,
Animal Gods,370220.0,,,,,
Operation Caucasus,442180.0,,,,,
AsteroidsHD,448230.0,,,,,
Angeldust,488440.0,,,,,
Lone Leader,518800.0,,,,,
Death penalty: Beginning ,570380.0,,,,,
Fruit Arranger,575700.0,,,,,
Horror Hospital,576440.0,,,,,
InfiniPicross,583490.0,,,,,
Riaaf The Spider,647040.0,,,,,
SOS,1750190.0,,,,,
SOS: Classic,802240.0,,,,,
Royal Merchant,1087330.0,,,,,
Charlotte: Dragon Slayer,1978180.0,,,,,
Destroy All Humans! – Clone Carnage,1872550.0,,,,,
Port of Call,356520.0,,,,,
Happy Room,550010.0,,,,,
El Matador,289280.0,,,,,
Pro Evolution Soccer 2016,375960.0,,,,,
Tales [PC],416250.0,,,,,
Peregrin,573080.0,,,,,
Zooicide,622040.0,,,,,
PRO EVOLUTION SOCCER 2018,592580.0,,,,,
The Walking Vegetables,704840.0,,,,,
Cube - The Jumper,856440.0,,,,,
Soulfire,822800.0,,,,,
The Past Within,1515210.0,,,,,
The Fall of Lazarus,622010.0,,,,,
Escape the Backrooms,2293260.0,,,,,
Max Payne 2 DE,210410.0,,,,,
Rising Islands,452450.0,,,,,
Royal Offense,615090.0,,,,,
Little Dungeon Stories,1069050.0,,,,,
COMBAT ARMS: THE CLASSIC,1263550.0,,,,,
Erzurum,1392060.0,,,,,
EA SPORTS™ FIFA 23,1811260.0,,,,,
Cyber Chicken,339710.0,,,,,
Professor Teaches® Excel 2013 & 365,377040.0,,,,,
NASCAR Heat 3,905450.0,,,,,
Blind Date 3D,1115650.0,,,,,
Halloween with Veronica,1162590.0,,,,,
Zup! Z,1218900.0,,,,,
Battlefield™ Hardline,1238880.0,,,,,
LEWDAPOCALYPSE,1271710.0,,,,,
H-SNIPER: World War II,1323420.0,,,,,
FreshWomen - Season 1,1350650.0,,,,,
After All,365110.0,,,,,
ALPAGES : THE FIVE BOOKS,403860.0,,,,,
Control Craft 3,490910.0,,,,,
Shut Eye,533330.0,,,,,
Cards of Cthulhu,536040.0,,,,,
Comit the Astrodian,546790.0,,,,,
MechDefender,562730.0,,,,,
Witch of Ice Kingdom II,568830.0,,,,,
Cavern of Time,578830.0,,,,,
Black River,585090.0,,,,,
Kuro survival,632200.0,,,,,
Project First Contact,634230.0,,,,,
SoulFrost,675220.0,,,,,
HELI-COMMANDO 2017,679030.0,,,,,
Lycah,681980.0,,,,,
Sobreviva - Low Poly,686610.0,,,,,
Doodle Jamboree,687360.0,,,,,
The Thirst of Hearts,689360.0,,,,,
Jellyfish,700440.0,,,,,
Nimble Fish,704440.0,,,,,
AZURA,709410.0,,,,,
Airstrike One,713600.0,,,,,
Eared Hero,715980.0,,,,,
Cubic,718330.0,,,,,
Andarilho,450860.0,,,,,
Project Cabin,747990.0,,,,,
The Legend of Bean,764430.0,,,,,
Raceland,773240.0,,,,,
SOK MAX,786820.0,,,,,
Bright Bob,789550.0,,,,,
Blood Drift,798140.0,,,,,
Paladin Duty - Knights and Blades,800310.0,,,,,
Next 3,817190.0,,,,,
Black Jack Story,831060.0,,,,,
Bomight,839530.0,,,,,
Bing Bong XL,840930.0,,,,,
Righty Tighty XL,843430.0,,,,,
Pivot XL,843440.0,,,,,
Truth: Disorder II,847580.0,,,,,
Adventures of Mike,858180.0,,,,,
Ding Dong XL,862570.0,,,,,
ORIX!,863980.0,,,,,
Defense the Farm,866520.0,,,,,
Pirate Mosaic Puzzle. Caribbean Treasures,891720.0,,,,,
Christmas Mahjong,929440.0,,,,,
Royal Gems,1036990.0,,,,,
Elemental Girls,1079310.0,,,,,
Dude Simulator 3,1086640.0,,,,,
OMON Simulator,1140440.0,,,,,
Barro 2020,1168660.0,,,,,
Rocket Arena,1233550.0,,,,,
Wild Warfare,312150.0,,,,,
Redemption: Saints And Sinners,364910.0,,,,,
Perfect Fit - Totemland,536490.0,,,,,
BuildMoreCubes,557190.0,,,,,
Ninja Stealth 2,585830.0,,,,,
Bang Bang Fruit,587810.0,,,,,
Ruin City Gasolina,689350.0,,,,,
The Thing: Space X,709700.0,,,,,
StepX,711210.0,,,,,
Tactical Operations,690980.0,,,,,
Beach Restaurant,2164430.0,,,,,
Knights of Hearts,778830.0,,,,,
Thunderbolt,803390.0,,,,,
Stunt Hill,818790.0,,,,,
Griefer,823040.0,,,,,
Bubble Strike,823180.0,,,,,
Eon Fleet,838980.0,,,,,
9 Balls,839920.0,,,,,
Casual Penalty,857050.0,,,,,
A Small Robot Story,753440.0,,,,,
Leons Identität,1401610.0,,,,,
Tank Slam,782460.0,,,,,
❂ Hexaluga ❂ Witch Hunter's Travelling Castle ♉,809450.0,,,,,
Cube Racer,705210.0,,,,,
Coloring Pixels,897330.0,,,,,
A Dance of Fire and Ice,977950.0,,,,,
World Boss,1628620.0,,,,,
Konung 2,289360.0,,,,,
Project: R.E.B.O.O.T,543170.0,,,,,
ASSASSINATION BOX,551550.0,,,,,
Skater 2D,551930.0,,,,,
Dexodonex,552780.0,,,,,
Infinitum,555670.0,,,,,
Madness,555930.0,,,,,
Tomato Way,565860.0,,,,,
TILE,567020.0,,,,,
Magic Box,575750.0,,,,,
Project: R.E.B.O.O.T 2,575760.0,,,,,
Inner silence,575780.0,,,,,
Ropes And Dragons VR,576750.0,,,,,
All Alone: VR,604830.0,,,,,
RoboMatch,600210.0,,,,,
Fluffy Creatures VS The World,619400.0,,,,,
False Shelter,621150.0,,,,,
1914: Prelude to Chaos,627950.0,,,,,
Phobia,649150.0,,,,,
ЕСТЬ ДВА СТУЛА,873190.0,,,,,
The Interview,1522020.0,,,,,
BattleQuiz,397800.0,,,,,
Hope in Hell,410040.0,,,,,
Zamarian,429120.0,,,,,
Hyper Box,438820.0,,,,,
Izanami's Dream Battle,547730.0,,,,,
NakedMan VS The Clothes,592130.0,,,,,
Cosmic Pioneer,629380.0,,,,,
Drive By Hero,640310.0,,,,,
Super Hardcore,647050.0,,,,,
ROMBY,656210.0,,,,,
M1: A Death in the Desert,675530.0,,,,,
Story of the Survivor : Prisoner,676210.0,,,,,
Solenars Edge Rebirth,679470.0,,,,,
Kama Bullet Heritage,680690.0,,,,,
No Lights,682910.0,,,,,
Old Adventure,688450.0,,,,,
Nightork Adventures 2 - Legacy of Chaos,688630.0,,,,,
Evil Spirits,690580.0,,,,,
Quad Hopping,694490.0,,,,,
Fjong,694980.0,,,,,
Captain Backwater,695830.0,,,,,
sWORD MASTER,698980.0,,,,,
Forest Guardian,1181030.0,,,,,
Triple Otakus Puzzle,699760.0,,,,,
TangramsVR,700940.0,,,,,
Boom Box Blue!,705240.0,,,,,
Kamikaze Cube,708430.0,,,,,
Dice 1000 online,708930.0,,,,,
YAGZZ!,709720.0,,,,,
Hardcore ZBoy,709800.0,,,,,
Kim Jong-Boom,711070.0,,,,,
Brick Breaker Ultimate,711150.0,,,,,
WARIUM,713010.0,,,,,
Go Kart Survival,713570.0,,,,,
Ablepsia,713680.0,,,,,
Rocks and Rockets,715470.0,,,,,
NeoBoom2,718220.0,,,,,
LSD,718370.0,,,,,
Space Way,719100.0,,,,,
Dean Daimon,722050.0,,,,,
Pixel Space Battles,745500.0,,,,,
Reflex,1790740.0,,,,,
Lawnmower Game 2: Drifter,749550.0,,,,,
Mankind Defender (Restocked),751580.0,,,,,
Frozen Drift Race (Restocked),752400.0,,,,,
Abscond,752700.0,,,,,
Infinity Trip,752710.0,,,,,
Labirinto,765100.0,,,,,
Weable 2,765160.0,,,,,
Dolphins-Cyborgs and open space,767170.0,,,,,
The Warrior Of Treasures,768060.0,,,,,
Race,768800.0,,,,,
NeoBalls,771610.0,,,,,
Rampage Ragdoll,775790.0,,,,,
Armada Skies,776320.0,,,,,
Mouse (Sneaking),776960.0,,,,,
Mumps,777020.0,,,,,
Battle Of Keys,777310.0,,,,,
Soul for two,778810.0,,,,,
Cyborg Invasion Shooter 2: Battle Of Earth,779060.0,,,,,
Space Rocket,781660.0,,,,,
#CuteSnake,782100.0,,,,,
Super Robolom,783330.0,,,,,
NeoBalls2,786560.0,,,,,
Homeworld Defense,787100.0,,,,,
Clash of Castle,787250.0,,,,,
Zombie Clicker Defense,790230.0,,,,,
Primitive Shooter,790930.0,,,,,
Psychiatrist Simulator,791590.0,,,,,
No safety,791790.0,,,,,
Balloon,792810.0,,,,,
Dupio,793990.0,,,,,
XBall Champion,794570.0,,,,,
SALVATOR,795920.0,,,,,
Monkey Slap,796510.0,,,,,
Mr.Jezko,796640.0,,,,,
Qubika,797060.0,,,,,
Debtor,798380.0,,,,,
FLYVALNY 20!8,800280.0,,,,,
Golden Dungeons,801020.0,,,,,
ArcBall,801060.0,,,,,
Russian AYE Race,802650.0,,,,,
Bitcoin Or Bomb?,802660.0,,,,,
Haldor,803320.0,,,,,
Star Advent,804210.0,,,,,
Archery Blast,806470.0,,,,,
Frank the Miner,807340.0,,,,,
Nightmare Simulator,908920.0,,,,,
Zombie Murder,810680.0,,,,,
Zombie Murder Hell Arrives,810720.0,,,,,
Hot Mars 69,815080.0,,,,,
Zhmyshenko Valery Albertovich,816180.0,,,,,
Slayer Of Traitors,816670.0,,,,,
Real Drift,817680.0,,,,,
The Castle Disaster,817760.0,,,,,
Tower climber,818730.0,,,,,
Crypto Girl The Visual Novel,820300.0,,,,,
Russian Prisoner VS Nazi Zombies,820380.0,,,,,
LIGHT,1730140.0,,,,,
SAS VS Zombies,822070.0,,,,,
WAY HOME,822150.0,,,,,
Zombow,823650.0,,,,,
The Last Tower,824580.0,,,,,
Temptation,825000.0,,,,,
Viking's drakkars,825610.0,,,,,
WIN THE GAME!,828150.0,,,,,
Dungeons of the dead,828230.0,,,,,
Burst Into,829080.0,,,,,
Season Up,832470.0,,,,,
#CuteSnake 2,834180.0,,,,,
Horror Fish Simulator,835510.0,,,,,
My zero trip,837390.0,,,,,
Delivery man simulator,840170.0,,,,,
Qvabllock,840700.0,,,,,
Formula X,842270.0,,,,,
ArcBall 2,842290.0,,,,,
Neon Void Runner,842520.0,,,,,
Knight Fighter,842590.0,,,,,
Kinaman vs Gray Elephant,845480.0,,,,,
Rapid,847600.0,,,,,
Planet Unknown Runner,851580.0,,,,,
Bob The Cube,854060.0,,,,,
HUBE: Seeker of Achievements,857010.0,,,,,
S.T.R.E.T.C.H.,859610.0,,,,,
Hentai 3018,860910.0,,,,,
WIN THE GAME: WTF!,867140.0,,,,,
Championship Manager 2007,8040.0,,,,,
Championship Manager 2008,8060.0,,,,,
Act of War: Direct Action,2710.0,,,,,
Act of War: High Treason,9760.0,,,,,
Hazen: The Dark Whispers,46730.0,,,,,
Dimensity,46720.0,,,,,
Ziro,33660.0,,,,,
Cannons Lasers Rockets,265770.0,,,,,
Final Hours of Tomb Raider,233410.0,,,,,
Squirt's Adventure,263180.0,,,,,
Diehard Dungeon,277870.0,,,,,
DiggerOnline,278970.0,,,,,
Desert Gunner,281260.0,,,,,
O.R.B.,281390.0,,,,,
Clans,281430.0,,,,,
Disciples Sacred Lands Gold,281450.0,,,,,
D.W.A.R.F.S.,281560.0,,,,,
Sledgehammer / Gear Grinder,285520.0,,,,,
Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,286830.0,,,,,
White Haven Mysteries,288790.0,,,,,
BorderZone,289220.0,,,,,
Vitrum,291270.0,,,,,
Growing Pains,291610.0,,,,,
Rocko's Quest,297620.0,,,,,
Millennium 2 - Take Me Higher,298820.0,,,,,
Millennium 3 - Cry Wolf,298830.0,,,,,
Millennium 4 - Beyond Sunset,298840.0,,,,,
Back To Life 2,299100.0,,,,,
Monster Challenge Circus,300910.0,,,,,
300 Dwarves,301730.0,,,,,
I Am Vegend,302460.0,,,,,
Run For Rum,307560.0,,,,,
The Stalin Subway: Red Veil,311120.0,,,,,
Bird Assassin,312010.0,,,,,
Pacific Liberation Force,313190.0,,,,,
Alpha Zylon,313210.0,,,,,
4x4 Dream Race,313330.0,,,,,
Vincere Totus Astrum,314610.0,,,,,
Calvino Noir,316890.0,,,,,
War on Folvos,317380.0,,,,,
